评论标题,评论内容,标签
不负责任的辣鸡公司，梅雁吉祥,不负责任的辣鸡公司，梅雁吉祥,负向
谁是漂亮50幕后推手证金公司杀回马枪外资机构立潮头2017年05月31日来源：证券时报编辑：东方财富网,谁是“漂亮50”幕后推手？证金公司杀回马枪 外资机构立潮头 2017年05月31日 00,中性
怎么炒股新手,怎么炒股新手,中性
有种9,不要着急 着急吃不了热豆腐,负向
今天就这样，明天继续下探5个点,今天就这样，明天继续下探5个点,负向
早盘推荐涨停,尼码的笔 创业板跌一点股票大跌 创业板红了,正向
603699，预计上涨是个涨停板，立贴为证,十字星已出，你们看结果就好了。,正向
CPI大幅增加，3月份必加息。。,3000点不是底！,正向
我们恐惧美国，美国也同样恐惧我们,集成电路国产化目标一旦完成，美国就会开始走下神坛。  美国的强大，本质上还是由其高端制造业撑起来的。,正向
又到积极买入时,今天大盘时间，空间，调整长度同时出现，探底2733点位。积极买入为首要任务，大批股票空头排例，随便买。注意回避（个人观点）：（1）大型金融股，年初以来未见有大资金积极买入迹象.（2）离房地产股远点，国家连续宏观调控。（3）当前科创股票，温度过高太疯狂，小心结冰。祝：各位投资顺利。,正向
14下面补点市值！！！,痛啊，新股一票难中，市值倒下去不少！！！！！！！！,中性
三者密不可分，缺一不可,三者密不可分，缺一不可,中性
怎么软件上显示3月22日的股东与3月18日比又有变化,貌似富德减持了？谁解释一下。,中性
大单横飞,大单横飞,负向
一跌就几角几角的跌，一涨就一分一分的涨，浦发股东你们是不是该普法,一跌就几角几角的跌，一涨就一分一分的涨，浦发股东你们是不是该普法？,负向
补跌在明天,补跌在明天,正向
但这两只股票都表现比较靓丽,从供求关系而言,正向
价值投资，还得多分红,价值投资，还得多分红,正向
不管A股B股，能够赚钱就是好股,不管A股B股，能够赚钱就是好股,正向
浦发2017年报和派息会如何,再有一个星期浦发就该公布2017年报了，看目前股票的走势，情况不容乐观啊，每股能分个5毛吗？如果不分5毛，那投资浦发还有何意义？,负向
公司章程规定如何解释,本公司现金分红方案应遵循有关监管机构的相关规定。本公司优先采取现金分红的方式进  行股利分配。除特殊情况外，最近三年现金分红累计分配的利润在扣除优先股股息后应不少于  最近三年实现的年均归属于普通股股东的可分配利润的百分之三十。,中性
钛白粉价格再次调涨行业供求持续改善：,钛白粉价格再次调涨 行业供求持续改善：,正向
再拉一点就红了，加油！！！,明后天，黑四黑五，看能否创新低！ 周六再看，,正向
不知道能不能熬过来，24的本，几经回调买入不。,不知道能不能熬过来，24的本，几经回调买入 不。,正向
就是几千亿，三年内全部,就是几千亿，三年内全部,中性
我买了浦发，怎么突然涨这么，我很不习惯，我是来配市值的,我买了浦发，怎么突然涨这么，我很不习惯，我是来配市值的,正向
中收益，低风险，顺大势而为！,中收益，低风险，顺大势而为！,正向
略供需矛盾不改纸价,略】供需矛盾不改 纸价或再次上涨 关注相关受益股投资机会： 　　据媒体报道，4月6日，又有4家原,负向
买啊,[微笑][大笑],正向
综合指破年初位，50没破，银行个股也没破,综合指破年初位，50没破，银行个股也没破,中性
股灾4.0好久了，怎么媒体都不用这个说法,业绩这么好还跌成这逼,负向
看样子主力砸的起劲，一时半会停不下来。管不住手，又在14.58元买入300股。暂,看样子主力砸的起劲，一时半会停不下来。管不住手，又在14.58元买入300股。暂停买入，等待股息入帐。[微笑][微笑][献花][献花][献花],正向
看见它上蹦下跳地样子，我心里咯咯......咯咯......地高兴[大笑][大笑][大笑],看见它上蹦下跳地样子，我心里咯咯......咯咯......地高兴[大笑][大笑][大笑],正向
龙控股的未来111龙控股的未来,龙控股的未来11,中性
200万只是打了个水漂,200万只是打了个水漂,负向
浦发银行分红后的股价将是15.33元目前资产15.64元，2017年按最好的结,浦发银行分红后的股价将是15.33元 目前资产15.64元，2017年按最好的结果预估，上半年收益1.2元，总资产每股接近16.84元， 按着原来的分红方案，30%收益用于分红，今年每股分红接近0.72元，除权后每股资产接近16.12元； 大股东要定增11亿股，总股本将增加到22...,中性
浦发年报预告阅读非财务专业！,发行优先股摊了普通股东利益，加权平均净资产收益率（%） 18.82，普通股股东的每股净资产只增长16.27%！,中性
4月11日四川钱坤投资重大财经新闻速览,财税改革措施将加快落地 增值税税率今年简并至三档。国务院总理李克强4月5日主持召开国务院常务会议，部署落实2017年经济体制改革重点任务。其中提出要进一步推动财税金融、国企  国资、对外开放、生态环保等改革和农业供给侧结构性改革措施落地见效，着力促进经济结构优化升级。  首次采用...,中性
这是什么鬼股吗,山西：力争三年实现煤与非煤产业“结构反转” 来源：证券时报APP,负向
我个人是非常反感别人问我对于某些政策，消息等怎么解读之类的问题,我个人是非常反感别人问我对于某些政策，消息等怎么解读之类的问题,负向
早盘核心概念,1. 水泥概念 全球糖市或现供应缺口 相关个股：华新水泥（600801）、海螺水泥（600585）、冀东水泥（000401） 2. 海绵城市概念 绿色消费指导意见印发 相关个股：聚光科技（300203）、江南水务（601199）,中性
业务向全球领域全面延展,业务向全球领域全面延展,正向
四傻北京这边爱调侃，喜欢用数字四，什么京城四美四傻等等。。。四傻版本最多。。下面这个是我编的。炒股炒成股东炒房炒成房东存款存成保险借款借成股票,四傻  北京这边爱调侃，喜欢用数字“四”，什么京城“四美”、“四傻”等等。。。四傻版本最多。。下面这个是我编的。  炒股炒成股东 炒房炒成房东 存款存成保险 借款借成股票,负向
候开盘呀！都停这么长时间了！,候开盘呀！都停这么长时间了！,中性
银行股即将爆发,银行股即将爆发,正向
宝贝加油！！！,宝贝加油！！！,正向
恭喜天洋往有史以来最低价靠拢,一笔成功的偷袭，跑赢国债逆回购。。。,负向
沪港通第一龙头，现遭主力8528万疯狂抢筹，将暴涨超青龙管业体个股会在首贴公布的,沪港通第一龙头，现遭主力8528万疯狂抢筹，将暴涨超青龙管业体个股会在首贴公布的,中性
午后大盘不改乏力之势,今日早市，A股行业板块多数下挫，沪深大盘双双微幅跳空低开，与隔夜美股走势逆向。开盘后的重点在昨日逆市抗跌的金融板块身上，其中券商、保险出现了翻绿，银行股却是继续上行，金融板块之间出现了多空对冲。另一方面，地产板块在万科A的带领下也是涨幅居前，这无疑让多空对持的场面略偏向多头，大盘...,负向
艹，保密工作做得真的好！到现在大家还在猜重组投资人！,艹，保密工作做得真的好！到现在大家还在猜重组投资人！,负向
大家看清楚，上午都收盘了，下午14,大家看清楚，上午都收盘了，下午14,中性
桂东电力600310融资融券信息0707。,桂东电力(600310)融资融券信息(07-07)。,中性
自我要求是迈向成功的捷径，恒心是离成功最短的路,自我要求是迈向成功的捷径，恒心是离成功最短的路,正向
注意安全！,注意安全！,负向
浦大娘任何一次拉升，都是出逃的良机，,浦大娘任何一次拉升，都是出逃的良机，,中性
因公司涉嫌未披露控股股东与其他股东间关联关系等信息披露违法违规，中国证监会根据中华人民共和国证券法的有关规定，决定对公司立案调查。20...,方正证券（601901）2015年7月14日收到中国证券监督管理委员会（以下简称 “中国证监会”）《调查通知书》（湘证调查字0335号）。因公司涉嫌未 披露控股股东与其他股东间关联关系等信息披露违法违规，中国证监会根据《中华人民共和国证券法》的有关规定，决定对公司立案调查。 20...,负向
回蹲一下，后面涨起来更有力！,回蹲一下，后面涨起来更有力！,正向
七月大牛股-互联网金融,七月大牛股-互联网金融,正向
件事到最后一定会变成一件好事,件事到最后一定会变成一件好事,正向
民生银行就是掩护其它银行撤退的工具,民生银行就是掩护其它银行撤退的工具,中性
小浦同志啊！你套了本韭菜2年唉成本是越T越高哦试问何以解忧本韭菜认为唯有解,小浦同志啊！你套了本韭菜2年唉……成本是越T越高哦试问何以解忧？本韭菜认为唯有解套,负向
站在至高点，撒时候有解放军来呀，好冷好冷哭,站在至高点，撒时候有解放军来呀，好冷好冷[哭],负向
唯多，只唯实！,唯多，只唯实！,中性
浦发要大涨了.,提前通知你们,正向
戚狗美人有剧毒！己经有越来越多的小散开始觉醒了！,戚狗美人有剧毒！ 己经有越来越多的小散开始觉醒了！,负向
十年一汽轿车怎么是今天的下场,十年一汽轿车怎么是今天的下场,负向
如何在短线波段操作中选择合适买点,波段操作是振荡调整行情中获取短线收益的最佳操作技巧，一次完整的波段操作过程涉及买卖两个方面，这里先来分析一下买入技巧：  首先波段操作的买入时机：要参考筑底中心区域。指数上涨过急后会重新跌回中心区，指数下跌过度后也会反弹回来。而真正的底部也是指一个区域，并非是某一 特定的拐点或价...,中性
测试下网友吗的智力,这个真好,正向
但我可以确定一点,派发和洗盘的全过程,中性
证金也在搬砖减了招行买浦发,证金也在搬砖？减了招行买浦发？,中性
贵州茅台再这么跌下去，上证怕是要新低了。只能看看下周有木有起色哭哭哭,贵州茅台再这么跌下去，上证怕是要新低了。只能看看下周有木有起色[哭][哭][哭],负向
也就是说让我们把超市约等于股市来看的话,也就是说让我们把超市约等于股市来看的话,中性
凯撒铭金：原油投资赚钱套路,近年来，现货投资成为了投资市场上的“香饽饽”，不少投资者进入现货市场准备大展拳脚，可是现货投资是一门高技术活，如何盈利赚钱，今天小编给大家总结了现货投资的赚钱套路，有做单方面的、有技巧方面的、有纪律方面的，希望给大家带来帮助！  一、首先，从保本到盈利，我们必需要走的三步：  1...,中性
两张图,上证50和创业板综指的对比。,中性
大伙投！,股民进入一级市场的股权众筹平台!中小企业股权融资首选!,中性
浦发会不会被外资银行收购哪因为上海一直是改革的前沿！还有自贸区,浦发会不会被外资银行收购哪？因为上海一直是改革的前沿！还有自贸区,中性
高山滑雪，一路向下,高山滑雪，一路向下,负向
听说好几个银行被罚了，过几天就好了,听说好几个银行被罚了，过几天就好了,负向
放了700多个亿来换去企业买下不良贷款，很明显业绩造假,放了700多个亿来换去企业买下不良贷款，很明显业绩造假,负向
但愿站上15.47！加油！你落后太久了,基本上都是上午涨下午跌，跟住脚步，上午卖下午,正向
实际上高送转送红：规定一个财务门槛等级和上限,朋友别哭50依然是你心灵的归宿 朋友别哭要相信,中性
关注近期热点,近期工业制造峰会不断，短线工业4.0 机器人 有望受益 逢低关注 沈阳机床 华中数控,中性
600006被套了，浦发的大神，帮帮忙拉一下,600006被套了，浦发的大神，帮帮忙拉一下,负向
但不管文T言小说或白话小Z说都X源远流长，呈现各自不同的艺术特色,但不管文T言小说或白话小Z说都X源远流长，呈现各自不同的艺术特色,中性
梧桐树等入市蓝筹股三年慢牛自然会形成,梧桐树、养老金 证金 汇金等国家队资金缓缓入市，将托住银行保险目前形成的底部，已耗资上万亿。由于公私基金 散户撤离银行保险的行动从去年初持续到现在(2015/1—2016/3)，国家队已投入的资金仅能形成底部，推升银行保险等形成蓝筹股慢牛行情(三年上涨100%)需要在以后的三年内...,正向
真心多得你们一众热心的资深人士时时提醒，要不就有很多象我们一样的初哥非常容易地就,真心多得你们一众热心的资深人士时时提醒，要不就有很多象我们一样的初哥非常容易地就受小米误导！[赞]！,中性
客观分析浦发银行,浦发银行年报及分红披露后，银粉纷纷批责、嫌弃。客观的说浦发2016年年报及分红差强人意。再加上低价增发新股确实伤通了一贯看好并持有银粉的心，但我认为浦发银行应该还算很好的价值股标的。我看到浦发的十大股东2016年三季度以来并没有减持，证金公司还有加仓，而同期许多银行股被证金减持，...,正向
同时同一天入的60000五万股，价格16.75元；000019一万股，价格10元，你看两股的表现，朋友说你当初为何不听我感叹：为何持股数不调过来，认命。但也怪李大嘴。,同时同一天入的60000（五万股，价格16.75元）；000019（一万股，价格10元），你看两股的表现，朋友说“你当初为何不听？”我感叹：为何持股数不调过来，认命。但也怪李大嘴。,负向
按常理至少三至四块，理由一：大股东增持一到二,按常理至少三至四块，理由一：大股东增持一到二,中性
一路买,一路买,正向
同花顺的大战略软件是骗人的软件，交了6万8千买了这软件在大市升了几百点的时候半个,同花顺的大战略软件是骗人的软件，交了6万8千买了这软件在大市升了几百点的时候半个月亏了几十万，交钱前承诺20%的月收益和80%的上涨概率全都是骗人的，我就是受害者。,负向
11.5元支撑有效，底部会逐步抬高。,11.5元支撑有效，底部会逐步抬高。,正向
帐庐好在春睡,帐庐好在春睡,中性
要收复20日线了鼓掌,要收复20日线了[鼓掌],正向
教训疯x是做善事，何乐而不为！见疯X不打即是罪过！！浦吧有一疯X，,教训疯x是做善事，何乐而不为？！见疯X不打即是罪过！！  浦吧有一疯X，名为拔苗（专业户），贯以辱骂他人为乐。近期己疯！望浦吧朋友望而远之，以保人身安全。,负向
会因虚度年华而悔恨,会因虚度年华而悔恨,负向
明天爆升就看你了,明天爆升就看你了,正向
节后套,春节后，套牢一大片今天抢入的。,负向
流通盘很少了已经拉升在即！老子在买个500手,流通盘很少了已经拉升在即！老子在买个500手,正向
短期震荡上行，下方支撑在10日线处，上方压力在13.0元附近，支撑上方继续持股待涨即可。,短期震荡上行，下方支撑在10日线处，上方压力在13.0元附近，支撑上方继续持股待涨即可。,正向
上午反弹地点就是为了出货！,下午仍是惨烈的大跌！不信看着吧没有价值回报的市场只能是一路下跌！没有任何迹象表明经济向好只是下滑下滑还是下滑，股市不可能有好的表现！别再相信什么了。三十六计走为上策！这才是没办法的办法！,正向
跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑,跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑跑,负向
市场在等候美联储决议,周三早盘，沪指小幅低开，创业板大幅高开近2%，主板与创业板分化依然明显。开盘后，沪指在银行等板块带领下翻红，但创业板在开盘后持续下行，盘中下探跌近1.5%。午后开盘，人工智能概念崛起，各题材板块纷纷拉升，创业板迅速回暖，并一度拉升涨近1%；然而人气低迷，市场冲高后迅速回落，创业板...,中性
停牌王000553沙隆达十大利好沙隆达十大概念：1重大无先例重组成功，,停牌王 000553 沙隆达 十大利好 沙隆达十大概念： 1重大无先例重组成功，证监会以及个有关部门全部开绿灯通行 2停牌时间最长，长达十四个月，通常时间越长涨幅越大，至少25个板以上。 3注入以色列adama资产蛇吞象，并且承诺公司总部保留在以色列，国外先进管理经营继续传承。 ...,正向
力鼎资本创始合伙人高凤勇称新三板最大的好消,力鼎资本创始合伙人高凤勇称 新三板最大的好消,中性
倾心点金：原油上周暴跌非农难挡黄金一路飙升,2016年第一个交易周全球市场风起云涌，人民币贬值至五年低位、中国A股四次触发熔断，引发全球股市重挫、避险情绪卷土重来；沙特与伊朗断交以及朝鲜核试验等地缘政治危机爆发，油价惨跌不止；因美国薪资鲜有增长、市场对美联储进一步加息产生疑虑，美元表现平平。在市场风险剧增的前提下，金银成了...,中性
一支穿云箭，千军万马来相见！,一支穿云箭，千军万马来相见！,正向
卖出，入银行，只因大股东只会溢价注资产,卖出，入银行，只因大股东只会溢价注资产,中性
刷卡手续费下降。周一银行股跌，磁卡股涨停。,刷卡手续费下降。周一银行股跌，磁卡股涨停。,中性
为啥我回复拳打的发不出呢,为啥我回复拳打的发不出呢？,中性
MSCI尘埃落定期待A股春天,央行参事盛松成：下半年中国市场利率或平滑下行,正向
大盘今天不会杀跌，会保持高点震荡。,大盘今天不会杀跌，会保持高点震荡。,负向
今天抄底,今天抄底,中性
浦发雄起还是你牛,浦发雄起!还是你牛!,正向
多头行情，多方慢慢来。9帖,汇丰银行，渣打银行股价7O多元，中国多家银行不,中性
价的上涨同步向上延伸来判断价的上涨同步向上延伸来判断,价的上涨同步向上延伸来判断价的上涨同步向上延伸来判断,正向
稳定股市增加投资者信心建议修改交易规则：一修改个股及指数上涨限制幅度。将个股,稳定股市增加投资者信心建议修改交易规则：一、修改个股及指数上涨限制幅度。 将个股涨停板幅度限制修改为20%，同时将沪深300指数上涨的熔断阈值相应修改为10%和15%。个股跌停板原幅度及指数下跌熔断值不变。 二、率先在沪深300股票中试行T 0交易制度，引导资金价值投资。,负向
招商银行逆势上涨.厉害.,招商银行逆势上涨.厉害.,正向
今天强势上扬。明天估计要到18.55,今天强势上扬。 明天估计要到18.55,正向
银行股倒数第一不屑,银行股倒数第一[不屑],负向
经济不是不好,经济不是不好,正向
买了三成仓,缩量不跌，买点。,正向
4.11巴菲特小师妹恒指玩的就是心跳,[胜利]今天完美收官。 恒指交易时间： 买入时间：白天09：15--16：20 夜盘：17：15-23：35 卖出时间：白天09：15-16：25 夜盘：17：15-23：40,中性
一毛钱玩一天,一毛钱玩一天,中性
我们也开始变得不一样了,我们也开始变得不一样了,中性
上证629日走势依然健康，上涨继续，上涨继续，,东方能源业绩不错啊，为什么还跌呢？感觉今天可,正向
送股和公积金转增股其实一点意义也没有，因为送股和公积金转增股后，你的每股收益相应,送股和公积金转增股其实一点意义也没有，因为送股和公积金转增股后，你的每股收益相应被平摊了，如送股前每股收益1元，每股净资产3元，那么送股后每股收益变成0.5元了，每股净资产变成1.5元了，你的市盈率是不变的，投资价值也是不变的，只是股价看起来变低了，送股的公司说的送股是没有付出一...,中性
申购银行母基金168205或者是1606315万可以盘中申购，申购后分拆成分级,"申购银行母基金168205或者是160631,5万可以盘中申购，申购后分拆成分级A B,然后卖出分级A,这是50万以下的散户最简单的杠杆工具!而且不存在爆仓的说法!",中性
小小的动作伤害还那么大,小小的动作伤害还那么大,负向
这是什么情况啊谁能说说啊专家老是CD啊,这是什么情况啊 谁能说说啊 专家老是 C D 啊,中性
空仓走人了！不玩了！,四部委发文积极发展创业板，发展科技创新 加大,负向
的快叨气的价格了,的快叨气的价格了,负向
硬分股东500天利润,天理何在?,负向
我想知道小秘书今天会有什么屁放。,我想知道小秘书今天会有什么屁放。[大笑][大笑][大笑],负向
周一涨停！！,知道都不会信的嘛，阿拉也不信呢，无聊刷屏娱乐一下嘛，哈哈，，。[微笑][献花]，，。,正向
不会给你一张返,不会给你一张返,中性
没有一个涨停不能改变的的图形，如果有就用两个,好多浦发的长期投资者已经离开，接下来浦发会不会成为妖精，难说................,正向
浦发银行行长应该引咎辞职,浦发银行行长应该引咎辞职,负向
大家赶紧买进,四七,正向
明天此股大涨,明天此股大涨,正向
秘密，他们可以随,秘密，他们可以随,中性
平安银行的衍生贵金属公允价值变动损益造成减少利润35亿,而且没有对冲的贵金属公允损益就达到了35亿，是买错黄金了吗？,中性
给看看太阳电缆,给看看太阳电缆,中性
华远跌得很透了大底不远了,华远跌得很透了大底不远了,负向
在实现理想的路途中，必须排除一切干扰，特别是要看清那些美丽的诱惑。,在实现理想的路途中，必须排除一切干扰，特别是要看清那些美丽的诱惑。,正向
减持之日大涨。小目标30,减持之日大涨。小目标30,正向
跌势中应以保全资金为第一原则,跌势中应以保全资金为第一原则，宁可不动，也不妄动。但毋庸置疑，跌势中仍然有市场机会,中性
我就想问下，国家队都卖光了还是在继续加仓,我就想问下，国家队都卖光了？还是在继续加仓？？？？？,负向
历史新高,历史新高,正向
这是自救,这是自救,正向
关门前的标准走势,关门前的标准走势,中性
金融去杠杆，楼市限购没人敢接盘，套现不了钱，,4月销量创两年最大跌? 0.98元业绩次新股股价,负向
富士康的上市有200亿的资金冲击波，占市场日资金量的10%，又一次考验市场的承受能力。,富士康市值4000亿的新股上市如果按照10%的发行股本计算，那么流通市值会达到400亿，如果按照上市首日开板换手率50%以上计算的话，对于市场的流通性冲击在200亿以上，上证市场每天不超过2000亿的成交，占比超过了10%。 200亿这个短期的资金冲击已经不局限于新股本身了，甚至...,中性
未曾到过的地方啊,未曾到过的地方啊,中性
我买了8万股,这8万股，用来存钱用，看看能比定期利润高多少,正向
终日看天不举头，桃花烂漫始抬眸,饶君更有遮天网，透得牢关即便休,中性
市场更容易把握投资机会,市场更容易把握投资机会,正向
通缉福佳金融,全国的股民。如果在福佳金融上用所谓的杠杆操作的都是骗局。。如果有上当的必须投诉。。,负向
浦发是生病了吗,浦发是生病了吗？,负向
银行股的行情已经走完择机撤出为上策,银行股的行情已经走完 择机撤出 为上策,负向
浦发银行，太尼玛烦人！涨一分一分的涨！跌比谁都快,浦发银行，太尼玛烦人！涨一分一分的涨！跌比谁都快,负向
欧日央行延续宽松货币政策,欧、日央行延续宽松货币政策,正向
