用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
6.9年,思琪感仍饱圈4094,浦发银行(600000.sh),会：筹建期间股东不得转让,会：筹建期间股东不得转让会：筹建期间股东不得转让,2017/6/24 10:55,中性,0
7年,永先余5977,浦发银行(600000.sh),高送转是否还能延续传奇,高送转是否还能延续传奇,2017/3/21 21:48,中性,0
7.4年,佛心20516,浦发银行(600000.sh),最近買了發哥，哭暈在廁所。,最近買了發哥，哭暈在廁所。,2018/1/12 19:54,负向,-1
6.7年,活着16888148,浦发银行(600000.sh),银行股人数在增加，股价在跨，整体情况不妙，原因何在現金不多，如何应对微笑,银行股人数在增加，股价在跨，整体情况不妙，原因何在？現金不多，如何应对？[微笑][微笑][献花][献花][献花],2017/5/4 22:07,负向,-1
4.8年,股友feiNGU2614,浦发银行(600000.sh),0710隔行评论不认领,0710 隔行评论 不认领,2017/9/27 11:50,负向,-1
14.4年,lengfeiyu,浦发银行(600000.sh),关注季线下跌这笔，能否形成三买,关注季线下跌这笔，能否形成三买,2018/7/17 21:09,中性,0
6.2年,股未来了7337,浦发银行(600000.sh),浦发坚持天天向上。,浦发坚持天天向上。,2019/1/15 9:32,正向,1
6.7年,秋葵干2569,浦发银行(600000.sh),本人的银行股组合，从2016年2月初到现在几乎未操作，目前盈利10。上两张图给大家看看，希望给银粉们增加信心,本人的银行股组合，从2016年2月初到现在几乎未操作，目前盈利10％。上两张图给大家看看，希望给银粉们增加信心,2016/8/8 13:26,正向,1
9年,股友WQ88VX,浦发银行(600000.sh),股市到底是谁的股市？刚要上涨就有人跳出来叫骂,股市到底是谁的股市？刚要上涨就有人跳出来叫骂,2017/6/20 5:13,负向,-1
5.2年,wfymoon,浦发银行(600000.sh),像脱肛一样,使劲揉一揉就收上去一点，轻轻一松手又脱落下来。[大笑],2018/10/23 14:30,负向,-1
4.5年,股友wrppVQ,浦发银行(600000.sh),不经历风雨，怎么见彩虹！！！,不经历风雨，怎么见彩虹 ！！！  ......世界上没有只涨不跌的大盘与股票，也没有只跌不涨的大盘与股票......  大多做空是因为恐惧，大多做空后的拼命喊空，只是为了随后攫取带血筹码，人心的狭隘丑陋自私赤裸裸......  因为只有购买进并持有股票，日后上涨了的股价才与之有关...,2018/5/6 20:03,正向,1
6.7年,醉人哀2547,浦发银行(600000.sh),当主流资金向部分板块和个股中流动时,当主流资金向部分板块和个股中流动时,2016/11/23 13:57,中性,0
7.4年,n1419049500a2a20,浦发银行(600000.sh),北京再挂6宗地宅地限定,凹地舌尖品感 [16股],2017/7/1 15:47,中性,0
5.6年,圣天资产北纬37度7210,浦发银行(600000.sh),周总请了50亿先生吴京代言,周总请了50亿先生吴京代言,2018/12/6 12:33,中性,0
8.1年,风雨彩虹224357,浦发银行(600000.sh),呵呵，浦发银行真强！但我还是坚守中国平安，择机加仓！比银行增长快，比创业板更稳定,呵呵，浦发银行真强！但我还是坚守中国平安，择机加仓！比银行增长快，比创业板更稳定赢利，这就是保险行业！拿好中国平安。,2016/3/16 11:31,正向,1
6.9年,我是好人88898342,浦发银行(600000.sh),多点赞一下，多顶一下，主力就多送一个一字板！,多点赞一下，多顶一下，主力就多送一个一字板！,2017/4/6 10:04,正向,1
6.6年,法国经济和,浦发银行(600000.sh),要跌就跌到底,要跌就跌到底,2019/10/25 14:06,负向,-1
4.4年,sdl19701,浦发银行(600000.sh),终于跑出来了,终于跑出来了,2018/5/18 10:35,负向,-1
6.7年,痛苦的鸟哥尖,浦发银行(600000.sh),两个板块，次新股和锂电池，炒完锂电,两个板块，次新股和锂电池，炒完锂电,2016/7/7 13:04,正向,1
6.9年,翡翠销售7143,浦发银行(600000.sh),今天高点3174点，参考。,12,2017/8/14 8:35,中性,0
6.7年,梦想家超哥,浦发银行(600000.sh),跳水真尼玛快,跳水真尼玛快,2016/1/13 13:07,负向,-1
8.8年,沪0000000,浦发银行(600000.sh),雪姐去哪了,大概没人知道我说啥，但一定有明白的。就是这么可怕，我们这辈子人永远搞不懂，这些人到底为了啥，为名吗？可他们对证券市场知识的缺乏已注定很难成功！！！！！！,2016/10/3 18:57,负向,-1
4.2年,股友G8y7iR4309,浦发银行(600000.sh),300116将成深沪股市最大的黑马股之一严重关注,300116将成深沪股市最大的黑马股之一 严重关注,2018/4/27 20:37,正向,1
6.2年,已阅读2010,浦发银行(600000.sh),这批资金异常凶猛，可能是炒房资金,没有这么做股票的。,2019/3/4 12:50,正向,1
8.8年,n298313750651034,浦发银行(600000.sh),麟凤龟龙,麟凤龟龙,2018/7/4 14:34,中性,0
6.9年,神机妙算2018,浦发银行(600000.sh),这是银行股么,我有点怀疑人生了,2018/1/23 13:24,负向,-1
7.3年,babycocoss2722,浦发银行(600000.sh),又是昙花一现。,又是昙花一现。,2016/7/14 5:12,负向,-1
6.7年,老谷闲谈,浦发银行(600000.sh),油价这么低是发生了什么是社融断崖么,油价这么低是发生了什么？是社融断崖么？,2018/11/14 8:56,负向,-1
5.4年,股友KBALXN6014,浦发银行(600000.sh),等反弹出局换股做好止损,等反弹出局换股 做好止损,2017/3/29 13:31,负向,-1
3.8年,股友4pv9o8,浦发银行(600000.sh),垃圾行，继续垫底。,垃圾行，继续垫底。,2019/7/30 12:59,负向,-1
5.2年,股友25836113,浦发银行(600000.sh),白云电器买进的重点关注，没进的切勿追高,白云电器买进的重点关注，没进的切勿追高,2017/3/21 9:21,中性,0
3.9年,股友VwopsP,浦发银行(600000.sh),002476宝莫化工滞涨,来来　看看　300179　　002476宝莫　化工滞涨　　资产注入预期,2019/4/8 23:05,中性,0
5.8年,上海不忘初心2003,浦发银行(600000.sh),招行逾期贷款率1.74%重组贷款率0.51%，合计2.25%；浦发逾期贷款率2,招行逾期贷款率1.74%、重组贷款率0.51%，合计2.25%；浦发逾期贷款率2.8%、重组贷款率0.02%，合计2.82%。相对于不良贷款率，这是硬指标。结合最新估值，招行TTM市盈率10倍，浦发TTM市盈率5.85倍，各位自己判断。 至于时不时冒出来的监管处罚和罚款，行业监管...,2018/5/7 1:56,负向,-1
13.4年,日进满腹de子牙,浦发银行(600000.sh),熔断机制应该这么设计,熔断机制应该这么设计： 1.取消T+1改为T+0； 2.取消10%涨跌停限制； 3.取消上涨熔断； 4.当天触发7%下跌熔断时，停止卖出交易，只准买进，直至收盘。 看谁还敢恶意做空？,2016/1/7 13:48,中性,0
3.2年,股友N3nb4I,浦发银行(600000.sh),不负责任的辣鸡公司，梅雁吉祥,不负责任的辣鸡公司，梅雁吉祥,2019/5/16 19:12,负向,-1
7.7年,洼地未来之星4388,浦发银行(600000.sh),谁是漂亮50幕后推手证金公司杀回马枪外资机构立潮头2017年05月31日来源：证券时报编辑：东方财富网,谁是“漂亮50”幕后推手？证金公司杀回马枪 外资机构立潮头 2017年05月31日 00,2017/5/31 13:15,中性,0
6.1年,胡哥哥哥哥,浦发银行(600000.sh),怎么炒股新手,怎么炒股新手,2016/4/10 11:27,中性,0
7.1年,Louis咯,浦发银行(600000.sh),有种9,不要着急 着急吃不了热豆腐,2018/8/19 22:36,负向,-1
6.9年,hjg1411293106,浦发银行(600000.sh),今天就这样，明天继续下探5个点,今天就这样，明天继续下探5个点,2018/5/24 4:19,负向,-1
5.5年,upupagain5051,浦发银行(600000.sh),早盘推荐涨停,尼码的笔 创业板跌一点股票大跌 创业板红了,2017/8/13 22:58,正向,1
5.5年,涨停板一哥12250184,浦发银行(600000.sh),603699，预计上涨是个涨停板，立贴为证,十字星已出，你们看结果就好了。,2016/12/15 15:37,正向,1
4.6年,股友JQk3S76373,浦发银行(600000.sh),CPI大幅增加，3月份必加息。。,3000点不是底！,2018/2/5 9:33,正向,1
6.2年,上善若水998,浦发银行(600000.sh),我们恐惧美国，美国也同样恐惧我们,集成电路国产化目标一旦完成，美国就会开始走下神坛。  美国的强大，本质上还是由其高端制造业撑起来的。,2018/4/22 17:17,正向,1
11.9年,一介小民观察,浦发银行(600000.sh),又到积极买入时,今天大盘时间，空间，调整长度同时出现，探底2733点位。积极买入为首要任务，大批股票空头排例，随便买。注意回避（个人观点）：（1）大型金融股，年初以来未见有大资金积极买入迹象.（2）离房地产股远点，国家连续宏观调控。（3）当前科创股票，温度过高太疯狂，小心结冰。祝：各位投资顺利。,2019/8/6 13:31,正向,1
8.8年,沪0000000,浦发银行(600000.sh),14下面补点市值！！！,痛啊，新股一票难中，市值倒下去不少！！！！！！！！,2017/5/8 11:38,中性,0
4.6年,股友n09I545306,浦发银行(600000.sh),三者密不可分，缺一不可,三者密不可分，缺一不可,2017/9/15 18:17,中性,0
13.2年,股神的舅舅5151,浦发银行(600000.sh),怎么软件上显示3月22日的股东与3月18日比又有变化,貌似富德减持了？谁解释一下。,2016/3/22 9:11,中性,0
8.7年,江南玩家,浦发银行(600000.sh),大单横飞,大单横飞,2017/11/17 14:36,负向,-1
5.2年,李小龙i,浦发银行(600000.sh),一跌就几角几角的跌，一涨就一分一分的涨，浦发股东你们是不是该普法,一跌就几角几角的跌，一涨就一分一分的涨，浦发股东你们是不是该普法？,2017/8/17 9:52,负向,-1
4年,juanjuanjuan009,浦发银行(600000.sh),补跌在明天,补跌在明天,2018/9/9 1:24,正向,1
6.8年,n143753974369d81,浦发银行(600000.sh),但这两只股票都表现比较靓丽,从供求关系而言,2017/7/29 10:32,正向,1
5.7年,qmhbllhtpyzgslbb,浦发银行(600000.sh),价值投资，还得多分红,价值投资，还得多分红,2017/5/25 13:31,正向,1
4.6年,股友xkoQND7965,浦发银行(600000.sh),不管A股B股，能够赚钱就是好股,不管A股B股，能够赚钱就是好股,2017/9/18 12:02,正向,1
5.1年,市场规律就是赚钱,浦发银行(600000.sh),浦发2017年报和派息会如何,再有一个星期浦发就该公布2017年报了，看目前股票的走势，情况不容乐观啊，每股能分个5毛吗？如果不分5毛，那投资浦发还有何意义？,2018/4/20 10:47,负向,-1
5.7年,强盗打官司,浦发银行(600000.sh),公司章程规定如何解释,本公司现金分红方案应遵循有关监管机构的相关规定。本公司优先采取现金分红的方式进  行股利分配。除特殊情况外，最近三年现金分红累计分配的利润在扣除优先股股息后应不少于  最近三年实现的年均归属于普通股股东的可分配利润的百分之三十。,2018/4/27 20:03,中性,0
5.4年,n1270346831330,浦发银行(600000.sh),钛白粉价格再次调涨行业供求持续改善：,钛白粉价格再次调涨 行业供求持续改善：,2017/3/29 10:25,正向,1
6.8年,卯卯家,浦发银行(600000.sh),再拉一点就红了，加油！！！,明后天，黑四黑五，看能否创新低！ 周六再看，,2017/6/21 20:42,正向,1
6.8年,个大树就像出3093,浦发银行(600000.sh),不知道能不能熬过来，24的本，几经回调买入不。,不知道能不能熬过来，24的本，几经回调买入 不。,2017/11/2 21:30,正向,1
7.3年,大港漏网之鱼,浦发银行(600000.sh),就是几千亿，三年内全部,就是几千亿，三年内全部,2018/5/28 18:10,中性,0
6.8年,HX9S97G,浦发银行(600000.sh),我买了浦发，怎么突然涨这么，我很不习惯，我是来配市值的,我买了浦发，怎么突然涨这么，我很不习惯，我是来配市值的,2016/7/2 3:51,正向,1
4.2年,皆大欢喜A8,浦发银行(600000.sh),中收益，低风险，顺大势而为！,中收益，低风险，顺大势而为！,2018/3/6 14:30,正向,1
5.1年,股友XI4WBC2254,浦发银行(600000.sh),略供需矛盾不改纸价,略】供需矛盾不改 纸价或再次上涨 关注相关受益股投资机会： 　　据媒体报道，4月6日，又有4家原,2017/4/7 12:55,负向,-1
6.2年,笑怀天下,浦发银行(600000.sh),买啊,[微笑][大笑],2016/8/24 14:50,正向,1
4.3年,股友挨尅矣iKEWkR4183,浦发银行(600000.sh),综合指破年初位，50没破，银行个股也没破,综合指破年初位，50没破，银行个股也没破,2018/2/8 14:45,中性,0
9.2年,n724913632242084,浦发银行(600000.sh),股灾4.0好久了，怎么媒体都不用这个说法,业绩这么好还跌成这逼,2017/6/23 14:07,负向,-1
6.7年,活着16888148,浦发银行(600000.sh),看样子主力砸的起劲，一时半会停不下来。管不住手，又在14.58元买入300股。暂,看样子主力砸的起劲，一时半会停不下来。管不住手，又在14.58元买入300股。暂停买入，等待股息入帐。[微笑][微笑][献花][献花][献花],2017/5/8 12:46,正向,1
7.7年,拔苗助长专业户,浦发银行(600000.sh),看见它上蹦下跳地样子，我心里咯咯......咯咯......地高兴[大笑][大笑][大笑],看见它上蹦下跳地样子，我心里咯咯......咯咯......地高兴[大笑][大笑][大笑],2017/8/9 17:24,正向,1
3.9年,股友NiY5aN,浦发银行(600000.sh),龙控股的未来111龙控股的未来,龙控股的未来11,2018/8/2 16:38,中性,0
6.8年,加画8220,浦发银行(600000.sh),200万只是打了个水漂,200万只是打了个水漂,2018/7/3 1:59,负向,-1
7.8年,隔林听雨,浦发银行(600000.sh),浦发银行分红后的股价将是15.33元目前资产15.64元，2017年按最好的结,浦发银行分红后的股价将是15.33元 目前资产15.64元，2017年按最好的结果预估，上半年收益1.2元，总资产每股接近16.84元， 按着原来的分红方案，30%收益用于分红，今年每股分红接近0.72元，除权后每股资产接近16.12元； 大股东要定增11亿股，总股本将增加到22...,2017/3/24 22:45,中性,0
7.5年,麦穗鱼,浦发银行(600000.sh),浦发年报预告阅读非财务专业！,发行优先股摊了普通股东利益，加权平均净资产收益率（%） 18.82，普通股股东的每股净资产只增长16.27%！,2016/1/13 20:09,中性,0
5.2年,某资深股市小白,浦发银行(600000.sh),4月11日四川钱坤投资重大财经新闻速览,财税改革措施将加快落地 增值税税率今年简并至三档。国务院总理李克强4月5日主持召开国务院常务会议，部署落实2017年经济体制改革重点任务。其中提出要进一步推动财税金融、国企  国资、对外开放、生态环保等改革和农业供给侧结构性改革措施落地见效，着力促进经济结构优化升级。  首次采用...,2017/4/11 10:27,中性,0
6.7年,惊恐码思,浦发银行(600000.sh),这是什么鬼股吗,山西：力争三年实现煤与非煤产业“结构反转” 来源：证券时报APP,2018/11/9 22:46,负向,-1
4.2年,股友zTtEqT1546,浦发银行(600000.sh),我个人是非常反感别人问我对于某些政策，消息等怎么解读之类的问题,我个人是非常反感别人问我对于某些政策，消息等怎么解读之类的问题,2018/3/2 15:01,负向,-1
6.7年,乔帮主yah489,浦发银行(600000.sh),早盘核心概念,1. 水泥概念 全球糖市或现供应缺口 相关个股：华新水泥（600801）、海螺水泥（600585）、冀东水泥（000401） 2. 海绵城市概念 绿色消费指导意见印发 相关个股：聚光科技（300203）、江南水务（601199）,2016/3/3 10:30,中性,0
14.4年,keuhay3909,浦发银行(600000.sh),业务向全球领域全面延展,业务向全球领域全面延展,2017/4/13 14:58,正向,1
12.3年,德马克指标专家,浦发银行(600000.sh),四傻北京这边爱调侃，喜欢用数字四，什么京城四美四傻等等。。。四傻版本最多。。下面这个是我编的。炒股炒成股东炒房炒成房东存款存成保险借款借成股票,四傻  北京这边爱调侃，喜欢用数字“四”，什么京城“四美”、“四傻”等等。。。四傻版本最多。。下面这个是我编的。  炒股炒成股东 炒房炒成房东 存款存成保险 借款借成股票,2016/4/6 16:17,负向,-1
8.5年,n989313854451482,浦发银行(600000.sh),候开盘呀！都停这么长时间了！,候开盘呀！都停这么长时间了！,2018/5/31 13:21,中性,0
5.3年,股友Uzfidw5003,浦发银行(600000.sh),银行股即将爆发,银行股即将爆发,2017/1/31 20:37,正向,1
5.8年,窦劈破窦辆愚2794,浦发银行(600000.sh),宝贝加油！！！,宝贝加油！！！,2016/12/21 12:43,正向,1
14.4年,牛股出现,浦发银行(600000.sh),恭喜天洋往有史以来最低价靠拢,一笔成功的偷袭，跑赢国债逆回购。。。,2018/11/18 15:09,负向,-1
6.7年,qianhanspz9569,浦发银行(600000.sh),沪港通第一龙头，现遭主力8528万疯狂抢筹，将暴涨超青龙管业体个股会在首贴公布的,沪港通第一龙头，现遭主力8528万疯狂抢筹，将暴涨超青龙管业体个股会在首贴公布的,2017/4/21 16:23,中性,0
7.7年,小赵gupiao326,浦发银行(600000.sh),午后大盘不改乏力之势,今日早市，A股行业板块多数下挫，沪深大盘双双微幅跳空低开，与隔夜美股走势逆向。开盘后的重点在昨日逆市抗跌的金融板块身上，其中券商、保险出现了翻绿，银行股却是继续上行，金融板块之间出现了多空对冲。另一方面，地产板块在万科A的带领下也是涨幅居前，这无疑让多空对持的场面略偏向多头，大盘...,2016/8/12 14:56,负向,-1
6.7年,jssntzxlx,浦发银行(600000.sh),艹，保密工作做得真的好！到现在大家还在猜重组投资人！,艹，保密工作做得真的好！到现在大家还在猜重组投资人！,2018/6/12 19:30,负向,-1
6.5年,股海寻真520,浦发银行(600000.sh),大家看清楚，上午都收盘了，下午14,大家看清楚，上午都收盘了，下午14,2016/1/7 16:07,中性,0
6.8年,不要只因一次失败8780,浦发银行(600000.sh),桂东电力600310融资融券信息0707。,桂东电力(600310)融资融券信息(07-07)。,2017/10/17 4:00,中性,0
5.5年,庙思永中4165,浦发银行(600000.sh),自我要求是迈向成功的捷径，恒心是离成功最短的路,自我要求是迈向成功的捷径，恒心是离成功最短的路,2016/12/5 16:34,正向,1
6.4年,得失是得,浦发银行(600000.sh),注意安全！,注意安全！,2017/7/16 22:50,负向,-1
3.2年,瓜瓜皮,浦发银行(600000.sh),浦大娘任何一次拉升，都是出逃的良机，,浦大娘任何一次拉升，都是出逃的良机，,2019/9/27 10:29,中性,0
4.8年,yy18173712677,浦发银行(600000.sh),因公司涉嫌未披露控股股东与其他股东间关联关系等信息披露违法违规，中国证监会根据中华人民共和国证券法的有关规定，决定对公司立案调查。20...,方正证券（601901）2015年7月14日收到中国证券监督管理委员会（以下简称 “中国证监会”）《调查通知书》（湘证调查字0335号）。因公司涉嫌未 披露控股股东与其他股东间关联关系等信息披露违法违规，中国证监会根据《中华人民共和国证券法》的有关规定，决定对公司立案调查。 20...,2017/8/8 10:15,负向,-1
6.7年,多动则乱,浦发银行(600000.sh),回蹲一下，后面涨起来更有力！,回蹲一下，后面涨起来更有力！,2019/6/19 16:19,正向,1
15.6年,shortxiao4140,浦发银行(600000.sh),七月大牛股-互联网金融,七月大牛股-互联网金融,2017/7/3 17:45,正向,1
5.7年,股友egbrzt,浦发银行(600000.sh),件事到最后一定会变成一件好事,件事到最后一定会变成一件好事,2016/12/1 9:39,正向,1
6.3年,本质的背后,浦发银行(600000.sh),民生银行就是掩护其它银行撤退的工具,民生银行就是掩护其它银行撤退的工具,2018/1/23 8:31,中性,0
2.7年,萍水相逢苠,浦发银行(600000.sh),小浦同志啊！你套了本韭菜2年唉成本是越T越高哦试问何以解忧本韭菜认为唯有解,小浦同志啊！你套了本韭菜2年唉……成本是越T越高哦试问何以解忧？本韭菜认为唯有解套,2019/11/9 11:02,负向,-1
6.9年,财客超短线,浦发银行(600000.sh),站在至高点，撒时候有解放军来呀，好冷好冷哭,站在至高点，撒时候有解放军来呀，好冷好冷[哭],2017/3/23 10:35,负向,-1
4.3年,股友Lf9635,浦发银行(600000.sh),唯多，只唯实！,唯多，只唯实！,2018/5/30 21:04,中性,0
3.3年,股友gV2ka3,浦发银行(600000.sh),浦发要大涨了.,提前通知你们,2019/10/4 19:25,正向,1
5.9年,股友bhuujf,浦发银行(600000.sh),戚狗美人有剧毒！己经有越来越多的小散开始觉醒了！,戚狗美人有剧毒！ 己经有越来越多的小散开始觉醒了！,2018/6/22 23:15,负向,-1
9.5年,春夏秋冬NJ,浦发银行(600000.sh),十年一汽轿车怎么是今天的下场,十年一汽轿车怎么是今天的下场,2018/6/15 3:28,负向,-1
6.7年,股友aTOGkH,浦发银行(600000.sh),如何在短线波段操作中选择合适买点,波段操作是振荡调整行情中获取短线收益的最佳操作技巧，一次完整的波段操作过程涉及买卖两个方面，这里先来分析一下买入技巧：  首先波段操作的买入时机：要参考筑底中心区域。指数上涨过急后会重新跌回中心区，指数下跌过度后也会反弹回来。而真正的底部也是指一个区域，并非是某一 特定的拐点或价...,2016/9/10 18:00,中性,0
5.8年,股友92ga7755,浦发银行(600000.sh),测试下网友吗的智力,这个真好,2017/2/20 16:41,正向,1
7.7年,n1410192478fee35,浦发银行(600000.sh),但我可以确定一点,派发和洗盘的全过程,2017/4/29 6:11,中性,0
5.4年,小蜜酥5627,浦发银行(600000.sh),证金也在搬砖减了招行买浦发,证金也在搬砖？减了招行买浦发？,2017/4/10 20:26,中性,0
6.8年,入市小新人,浦发银行(600000.sh),贵州茅台再这么跌下去，上证怕是要新低了。只能看看下周有木有起色哭哭哭,贵州茅台再这么跌下去，上证怕是要新低了。只能看看下周有木有起色[哭][哭][哭],2019/11/29 13:14,负向,-1
